Picture_ID;Category;Description;SUMO_1;SUMO_2;SUMO_3;SUMO_4;SUMO_5;SUMO_6;SUMO_7;;;;;;;;;;;;;;;;;;
Animals_001_h;Animals;dead stork;%Dead=;%Bird+;;;;;;;;;;;;;;;;;;;;;;;
Animals_002_v;Animals;lion;%Lion=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_003_h;Animals;snake ;%Snake=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_004_v;Animals;wolf;%Canine+;%RadiatingSound+;;;;;;;;;;;;;;;;;;;;;;;
Animals_005_h;Animals;bat;%Mammal+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_006_v;Animals;snake;%Snake=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_007_h;Animals;wolf;%Canine+;%Snowing=;;;;;;;;;;;;;;;;;;;;;;;
Animals_008_v;Animals;fighting chickens;%ViolentContest+;%ChickenMeat+;%Rooster=;;;;;;;;;;;;;;;;;;;;;;
Animals_009_v;Animals;cat;%Feline+;%Forest=;;;;;;;;;;;;;;;;;;;;;;;
Animals_010_h;Animals;sick kitten;%DiseaseOrSyndrome+;%Kitten=;;;;;;;;;;;;;;;;;;;;;;;
Animals_011_h;Animals;black panther;%Human+;%Feline+;%RadiatingSound+;;;;;;;;;;;;;;;;;;;;;;
Animals_012_h;Animals;fighting dogs;%ViolentContest+;%DomesticDog=;;;;;;;;;;;;;;;;;;;;;;;
Animals_013_h;Animals;dead deer;%Dead=;%Deer=;;;;;;;;;;;;;;;;;;;;;;;
Animals_014_h;Animals;snake;%Snake=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_015_h;Animals;snake;%Device+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_016_h;Animals;dead hamster;%Dead=;%Hamster=;;;;;;;;;;;;;;;;;;;;;;;
Animals_017_v;Animals;dead bird;%Radiating[;%Bird=;;;;;;;;;;;;;;;;;;;;;;;
Animals_018_h;Animals;dead frog;%Dead=;%Toad+;;;;;;;;;;;;;;;;;;;;;;;
Animals_019_h;Animals;dead kangaroo;%Dead=;%Kangaroo=;;;;;;;;;;;;;;;;;;;;;;;
