Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;
Faces_001_h;Faces;children with a dog;%HumanChild=;%DomesticDog=;;;;;;;;;;;;;;;;;;
Faces_002_v;Faces;woman with a dog;%Woman=;%DomesticDog=;;;;;;;;;;;;;;;;;;
Faces_003_h;Faces;children;%HumanChild=;;;;;;;;;;;;;;;;;;;
Faces_004_h;Faces;baby crying;%HumanBaby=;%Weeping=;%Glove+;;;;;;;;;;;;;;;;;
Faces_005_h;Faces;baby in incubator;%HumanBaby=;%Device+;;;;;;;;;;;;;;;;;;
Faces_006_h;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_007_h;Faces;amputee boy;%DiseaseOrSyndrome+;%Man+;%HospitalOrganization=;;;;;;;;;;;;;;;;;
Faces_008_h;Faces;child crying;%HumanChild=;%Weeping=;%Snowing=;;;;;;;;;;;;;;;;;
Faces_009_h;Faces;hurting child;%Perception+;%HumanChild=;;;;;;;;;;;;;;;;;;
Faces_010_h;Faces;child with burns;%HumanChild=;%Injuring+;%HospitalOrganization=;;;;;;;;;;;;;;;;;
Faces_011_h;Faces;sick child;%DiseaseOrSyndrome+;%HumanChild=;;;;;;;;;;;;;;;;;;
Faces_012_v;Faces;sad girl;%Unhappiness+;%Girl=;;;;;;;;;;;;;;;;;;
Faces_013_h;Faces;child in a rescue sled;%HumanChild=;%SubjectiveAssessmentAttribute=;%LandVehicle+;;;;;;;;;;;;;;;;;
Faces_014_h;Faces;children;%HumanChild=;%City+;;;;;;;;;;;;;;;;;;
Faces_015_h;Faces;children;%HumanChild=;;;;;;;;;;;;;;;;;;;
Faces_016_h;Faces;armed children;%Weapon+;%HumanChild=;;;;;;;;;;;;;;;;;;
Faces_017_h;Faces;boy playing;%Man+;%RecreationOrExercise+;;;;;;;;;;;;;;;;;;
Faces_018_h;Faces;armed boys;%Weapon+;%Man+;;;;;;;;;;;;;;;;;;
Faces_019_h;Faces;baby with cleft lip;%HumanBaby=;%Slicing+;%Lip=;;;;;;;;;;;;;;;;;
Faces_020_h;Faces;child eating;%HumanChild=;%Eating=;;;;;;;;;;;;;;;;;;
Faces_021_h;Faces;baby crying;%HumanBaby=;%Vocalizing=;;;;;;;;;;;;;;;;;;
Faces_022_h;Faces;sad child;%Unhappiness+;%HumanChild=;;;;;;;;;;;;;;;;;;
Faces_023_h;Faces;child;%HumanChild=;%Eating=;%Fence=;;;;;;;;;;;;;;;;;
Faces_024_h;Faces;child;%HumanChild=;;;;;;;;;;;;;;;;;;;
