Picture_ID;Category;Description;SUMO_1;SUMO_2;SUMO_3;SUMO_4;SUMO_5;SUMO_6;SUMO_7;;;;;;;;;;;;;;;;;;
Objects_001_h;Objects;burning car;%Automobile=;%SubjectiveAssessmentAttribute+;%Fire=;%Roadway=;;;;;;;;;;;;;;;;;;;;;
Objects_002_h;Objects;crashed truck;%Truck=;%Impacting+;%Soil=;;;;;;;;;;;;;;;;;;;;;;
Objects_003_h;Objects;crashed car;%Automobile=;%Impacting+;%Roadway+;;;;;;;;;;;;;;;;;;;;;;
Objects_004_h;Objects;crashed car;%Automobile=;%Impacting+;%Snowing=;%PositionalAttribute+;;;;;;;;;;;;;;;;;;;;;
Objects_005_h;Objects;fish;%FishMeat+;%Table=;;;;;;;;;;;;;;;;;;;;;;;
Objects_006_h;Objects;meat;%Meat=;%Box=;;;;;;;;;;;;;;;;;;;;;;;
Objects_007_h;Objects;meat;%Meat=;%Tableware+;%Yellow=;;;;;;;;;;;;;;;;;;;;;;
Objects_008_h;Objects;roasted chicken;%ChickenMeat+;%CookedAttribute+;;;;;;;;;;;;;;;;;;;;;;;
Objects_009_h;Objects;sausage;%PreparedFood+;%FruitOrVegetable+;%Tableware+;;;;;;;;;;;;;;;;;;;;;;
Objects_010_h;Objects;rotten bread;%BreadOrBiscuit+;%Microorganism+;;;;;;;;;;;;;;;;;;;;;;;
Objects_011_h;Objects;rotten soup;%PreparedFood+;%ChemicalDecomposition+;;;;;;;;;;;;;;;;;;;;;;;
Objects_012_h;Objects;meat;%Meat=;%Pork=;%Building+;;;;;;;;;;;;;;;;;;;;;;
Objects_013_h;Objects;meat;%Meat=;%Beef=;%Building+;;;;;;;;;;;;;;;;;;;;;;
Objects_014_h;Objects;sausages;%PreparedFood+;%PotOrPan=;;;;;;;;;;;;;;;;;;;;;;;
Objects_015_v;Objects;meat;%Meat=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_016_h;Objects;noodles with eggs;%Pasta+;%BirdEgg=;%Container+;;;;;;;;;;;;;;;;;;;;;;
Objects_017_v;Objects;meat;%Meat=;%Black=;%ChickenMeat+;;;;;;;;;;;;;;;;;;;;;;
Objects_018_h;Objects;meat;%Meat=;%Pork+;;;;;;;;;;;;;;;;;;;;;;;
Objects_019_h;Objects;meat;%Meat=;%Pork+;;;;;;;;;;;;;;;;;;;;;;;
Objects_020_h;Objects;haricots;%FloweringPlant+;%FloweringPlant+;;;;;;;;;;;;;;;;;;;;;;;
Objects_021_v;Objects;meat;%Meat=;%Beef=;;;;;;;;;;;;;;;;;;;;;;;
Objects_022_h;Objects;meat;%Meat=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_023_v;Objects;meat;%Meat=;%Organ+;;;;;;;;;;;;;;;;;;;;;;;
Objects_024_v;Objects;meat;%Meat=;%PreparedFood+;%Tableware+;%BirdEgg=;;;;;;;;;;;;;;;;;;;;;
Objects_025_h;Objects;potato pancakes;%Pancake=;%PotatoTuber=;%PotOrPan=;;;;;;;;;;;;;;;;;;;;;;
Objects_026_v;Objects;mushrooms;%Fungus+;%Grass=;;;;;;;;;;;;;;;;;;;;;;;
Objects_027_h;Objects;sausages;%PreparedFood+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_028_v;Objects;mushrooms;%Fungus+;%Grass=;;;;;;;;;;;;;;;;;;;;;;;
Objects_029_h;Objects;corn;%MaizeGrain=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_030_v;Objects;meal;%Meal=;%Tableware+;;;;;;;;;;;;;;;;;;;;;;;
Objects_031_h;Objects;sausages;%PreparedFood+;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;
Objects_032_v;Objects;food;%SolidFood=;%Food+;;;;;;;;;;;;;;;;;;;;;;;
Objects_033_h;Objects;meal;%Meal=;%Breakfast=;;;;;;;;;;;;;;;;;;;;;;;
Objects_034_v;Objects;stew;%PreparedFood+;%Tableware+;%Meat=;;;;;;;;;;;;;;;;;;;;;;
Objects_035_h;Objects;fish;%FishMeat+;%PrawnMeat=;;;;;;;;;;;;;;;;;;;;;;;
Objects_036_v;Objects;jar;%Artifact+;%Liquid=;;;;;;;;;;;;;;;;;;;;;;;
Objects_037_h;Objects;food;%SolidFood=;%PreparedFood+;%PreparedFood+;;;;;;;;;;;;;;;;;;;;;;
Objects_038_v;Objects;pumpkin;%Squash+;%Wall=;%Green=;;;;;;;;;;;;;;;;;;;;;;
Objects_039_h;Objects;fish;%FishMeat+;%FlyInsect+;;;;;;;;;;;;;;;;;;;;;;;
Objects_040_v;Objects;meal;%Meal=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_041_h;Objects;cake;%PreparedFood+;%CerealGrain=;;;;;;;;;;;;;;;;;;;;;;;
Objects_042_h;Objects;meal;%Meal=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_043_h;Objects;ginger;%Herb+;%Desk=;;;;;;;;;;;;;;;;;;;;;;;
Objects_044_v;Objects;mushrooms;%Fungus+;%BotanicalTree=;;;;;;;;;;;;;;;;;;;;;;;
Objects_045_h;Objects;food;%SolidFood=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_046_h;Objects;chicken;%ChickenMeat+;%CookedAttribute+;%Food+;;;;;;;;;;;;;;;;;;;;;;
Objects_047_h;Objects;sea food;%Seafood=;%Water+;;;;;;;;;;;;;;;;;;;;;;;
Objects_048_h;Objects;dumplings;%Food+;%Tableware+;;;;;;;;;;;;;;;;;;;;;;;
Objects_049_h;Objects;fish and chips;%FishMeat+;%PreparedFood+;;;;;;;;;;;;;;;;;;;;;;;
