Picture_ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;;
Animals_001_h;Animals;dead stork;00095280;02002075;;;;;;;;;;;;;;;;;;;
Animals_002_v;Animals;lion;02129165;;;;;;;;;;;;;;;;;;;;
Animals_003_h;Animals;snake ;01726692;;;;;;;;;;;;;;;;;;;;
Animals_004_v;Animals;wolf;02114100;01045719;;;;;;;;;;;;;;;;;;;
Animals_005_h;Animals;bat;02139199;;;;;;;;;;;;;;;;;;;;
Animals_006_v;Animals;snake;01726692;;;;;;;;;;;;;;;;;;;;
Animals_007_h;Animals;wolf;02114100;15043763;;;;;;;;;;;;;;;;;;;
Animals_008_v;Animals;fighting chickens;01660444;07644967;01792158;;;;;;;;;;;;;;;;;;
Animals_009_v;Animals;cat;02121620;08438533;;;;;;;;;;;;;;;;;;;
Animals_010_h;Animals;sick kitten;02541302;02122948;;;;;;;;;;;;;;;;;;;
Animals_011_h;Animals;black panther;09858913;02128669;01045719;;;;;;;;;;;;;;;;;;
Animals_012_h;Animals;fighting dogs;01660444;02084071;;;;;;;;;;;;;;;;;;;
Animals_013_h;Animals;dead deer;00095280;02430045;;;;;;;;;;;;;;;;;;;
Animals_014_h;Animals;snake;01726692;;;;;;;;;;;;;;;;;;;;
Animals_015_h;Animals;snake;04248010;;;;;;;;;;;;;;;;;;;;
Animals_016_h;Animals;dead hamster;00095280;02342885;;;;;;;;;;;;;;;;;;;
Animals_017_v;Animals;dead bird;00359260;01503061;;;;;;;;;;;;;;;;;;;
Animals_018_h;Animals;dead frog;00095280;01639765;;;;;;;;;;;;;;;;;;;
Animals_019_h;Animals;dead kangaroo;00095280;01877134;;;;;;;;;;;;;;;;;;;
Animals_020_h;Animals;alligator;01698434;;;;;;;;;;;;;;;;;;;;
Animals_021_h;Animals;small alligators;01391351;01698434;;;;;;;;;;;;;;;;;;;
Animals_022_h;Animals;small alligators;01391351;01698434;;;;;;;;;;;;;;;;;;;
Animals_023_h;Animals;dog's teeth;02084071;02155872;;;;;;;;;;;;;;;;;;;
Animals_024_h;Animals;dead cat;00095280;02121620;;;;;;;;;;;;;;;;;;;
Animals_025_h;Animals;sheep ;02411705;03623556;;;;;;;;;;;;;;;;;;;
Animals_026_h;Animals;snake;01726692;;;;;;;;;;;;;;;;;;;;
Animals_027_h;Animals;dead bird;00095280;01503061;;;;;;;;;;;;;;;;;;;
Animals_028_h;Animals;bat's teeth;02139199;05282433;;;;;;;;;;;;;;;;;;;
Animals_029_v;Animals;horse legs;02374451;05561507;;;;;;;;;;;;;;;;;;;
Animals_030_h;Animals;snake;01726692;03900750;;;;;;;;;;;;;;;;;;;
Animals_031_h;Animals;fly;02190166;;;;;;;;;;;;;;;;;;;;
Animals_032_h;Animals;kangaroo skeleton;01877134;13763626;;;;;;;;;;;;;;;;;;;
Animals_033_h;Animals;dead bird;00359260;01503061;;;;;;;;;;;;;;;;;;;
Animals_034_h;Animals;dog's teeth;02084071;05225090;05282433;;;;;;;;;;;;;;;;;;
Animals_035_h;Animals;snake;01726692;00392812;;;;;;;;;;;;;;;;;;;
Animals_036_h;Animals;horses;02374451;03256032;;;;;;;;;;;;;;;;;;;
Animals_037_h;Animals;tick;01776313;;;;;;;;;;;;;;;;;;;;
Animals_038_h;Animals;dead wild boar;00095280;02396427;;;;;;;;;;;;;;;;;;;
Animals_039_h;Animals;dead dog;00095280;02084071;;;;;;;;;;;;;;;;;;;
Animals_040_v;Animals;bees;02206856;09218315;;;;;;;;;;;;;;;;;;;
Animals_041_h;Animals;insect;02159955;;;;;;;;;;;;;;;;;;;;
Animals_042_h;Animals;mosquito;02200198;;;;;;;;;;;;;;;;;;;;
Animals_043_h;Animals;insects;02159955;;;;;;;;;;;;;;;;;;;;
Animals_044_h;Animals;bees;02206856;09218315;;;;;;;;;;;;;;;;;;;
Animals_045_h;Animals;dead bird;00359260;01503061;;;;;;;;;;;;;;;;;;;
Animals_046_h;Animals;snake;01726692;;;;;;;;;;;;;;;;;;;;
Animals_047_h;Animals;lion;02129165;00838367;;;;;;;;;;;;;;;;;;;
Animals_048_h;Animals;starved dog;02084071;02301338;00253196;;;;;;;;;;;;;;;;;;
Animals_049_h;Animals;sick dog;02084071;02541302;;;;;;;;;;;;;;;;;;;
Animals_050_h;Animals;dog;02084071;01047596;02936714;;;;;;;;;;;;;;;;;;
Animals_051_h;Animals;sick birds;02541302;01503061;;;;;;;;;;;;;;;;;;;
Animals_052_v;Animals;spider;01772222;01774750;;;;;;;;;;;;;;;;;;;
Animals_053_h;Animals;monkey;02484322;02487347;;03327234;;;;;;;;;;;;;;;;;
Animals_054_h;Animals;starved dog;02301338;02084071;;;;;;;;;;;;;;;;;;;
Animals_055_h;Animals;shark;01482330;;;;;;;;;;;;;;;;;;;;
Animals_056_h;Animals;dead cat;00095280;02121620;;;;;;;;;;;;;;;;;;;
Animals_057_h;Animals;dead crow;00095280;01579028;15043763;;;;;;;;;;;;;;;;;;
Animals_058_h;Animals;snake;01726692;05538625;;;;;;;;;;;;;;;;;;;
Animals_059_h;Animals;spider;01772222;01774750;;;;;;;;;;;;;;;;;;;
Animals_060_h;Animals;sick snow leopard;01318741;02128757;;;;;;;;;;;;;;;;;;;
Animals_061_h;Animals;dog;02084071;01445932;04108268;;;;;;;;;;;;;;;;;;
Animals_062_h;Animals;dead cow;00095280;01020282;02403454;;;;;;;;;;;;;;;;;;
Animals_063_h;Animals;dead deer;00095280;02430045;;;;;;;;;;;;;;;;;;;
Animals_064_v;Animals;dead fish;00095280;02512053;09225146;;;;;;;;;;;;;;;;;;
Animals_065_h;Animals;worms;02311060;14842992;;;;;;;;;;;;;;;;;;;
Animals_066_h;Animals;pigs;02936714;02395406;;;;;;;;;;;;;;;;;;;
Animals_067_h;Animals;dead mouse;00095280;02330245;;;;;;;;;;;;;;;;;;;
Animals_068_h;Animals;dead chinchillas;00095280;02367492;;;;;;;;;;;;;;;;;;;
Animals_069_h;Animals;spider;01772222;01774750;;;;;;;;;;;;;;;;;;;
Animals_070_h;Animals;snake;01726692;05564590;;;;;;;;;;;;;;;;;;;
Animals_071_h;Animals;dead moose;00095280;02432983;;;;;;;;;;;;;;;;;;;
Animals_072_h;Animals;snake;01726692;13152742;;;;;;;;;;;;;;;;;;;
Animals_073_h;Animals;dead lion;05636402;02129165;;;;;;;;;;;;;;;;;;;
Animals_074_h;Animals;starved dog;02301338;01318741;02084071;;;;;;;;;;;;;;;;;;
Animals_075_h;Animals;sick chinchilla;14008806;02367492;02541302;;;;;;;;;;;;;;;;;;
Animals_076_v;Animals;dog;02084071;01045719;;;;;;;;;;;;;;;;;;;
Animals_077_h;Animals;sick dog;01318741;02936714;02084071;;;;;;;;;;;;;;;;;;
Animals_078_h;Animals;dead mouse;00095280;02330245;;;;;;;;;;;;;;;;;;;
Animals_079_h;Animals;snake;01726692;05538625;;;;;;;;;;;;;;;;;;;
Animals_080_h;Animals;monkey;02484322;01045719;;;;;;;;;;;;;;;;;;;
Animals_081_h;Animals;insects;02159955;;;;;;;;;;;;;;;;;;;;
Animals_082_h;Animals;beetle;02164464;13152742;;;;;;;;;;;;;;;;;;;
Animals_083_h;Animals;cat;02121620;15043763;;;;;;;;;;;;;;;;;;;
Animals_084_h;Animals;worms;01922303;05564590;;;;;;;;;;;;;;;;;;;
Animals_085_h;Animals;lion;02129604;07384473;;;;;;;;;;;;;;;;;;;
Animals_086_v;Animals;cat;02121620;02541302;;;;;;;;;;;;;;;;;;;
Animals_087_h;Animals;bat;02139199;;;;;;;;;;;;;;;;;;;;
Animals_088_h;Animals;fish;02512053;;;;;;;;;;;;;;;;;;;;
Animals_089_v;Animals;lizard;01674464;09474412;01921964;;;;;;;;;;;;;;;;;;
Animals_090_h;Animals;pelicans;02051845;09225146;;;;;;;;;;;;;;;;;;;
Animals_091_h;Animals;pelicans;02051845;09225146;;;;;;;;;;;;;;;;;;;
Animals_092_h;Animals;dog;02084071;02881193;;;;;;;;;;;;;;;;;;;
Animals_093_h;Animals;dead butterfly;00095280;02274259;;;;;;;;;;;;;;;;;;;
Animals_094_h;Animals;alligator;01698144;13165815;09225146;;;;;;;;;;;;;;;;;;
Animals_095_h;Animals;duck;01846331;09225146;;;;;;;;;;;;;;;;;;;
Animals_096_h;Animals;dogs;02084071;03964744;02418686;08569998;;;;;;;;;;;;;;;;;
Animals_097_h;Animals;cow;02403454;08569998;;;;;;;;;;;;;;;;;;;
Animals_098_h;Animals;monkeys;02486410;09225146;02484322;;;;;;;;;;;;;;;;;;
Animals_099_h;Animals;cow;02403454;08569998;;;;;;;;;;;;;;;;;;;
Animals_100_h;Animals;flamingo;02007558;09225146;;01503061;;;;;;;;;;;;;;;;;
Animals_101_v;Animals;cat;02121620;00838367;03593526;;;;;;;;;;;;;;;;;;
Animals_102_h;Animals;leopard;02128385;09366762;;;;;;;;;;;;;;;;;;;
Animals_103_h;Animals;kangaroo;01877134;;;;;;;;;;;;;;;;;;;;
Animals_104_h;Animals;pigeon;01811909;;;;;;;;;;;;;;;;;;;;
Animals_105_h;Animals;hen;01792640;01791625;;;;;;;;;;;;;;;;;;;
Animals_106_h;Animals;butterfly;02274259;;;;;;;;;;;;;;;;;;;;
Animals_107_h;Animals;fish;02512053;15019030;;;;;;;;;;;;;;;;;;;
Animals_108_h;Animals;hippopotamus;02398521;14956325;;;;;;;;;;;;;;;;;;;
Animals_109_h;Animals;cat;02121620;00838367;02881193;;;;;;;;;;;;;;;;;;
Animals_110_h;Animals;sea lions;02077923;15019030;09217230;;;;;;;;;;;;;;;;;;
Animals_111_h;Animals;bats;02139199;;;;;;;;;;;;;;;;;;;;
Animals_112_v;Animals;fish;02512053;01915811;;;;;;;;;;;;;;;;;;;
Animals_113_h;Animals;horse;02374451;09217230;;;;;;;;;;;;;;;;;;;
Animals_114_h;Animals;cat;02121620;04435180;00393105;03365592;;;;;;;;;;;;;;;;;
Animals_115_h;Animals;cat;02121620;01692222;;;;;;;;;;;;;;;;;;;
Animals_116_h;Animals;ladybug;02165456;05564590;;;;;;;;;;;;;;;;;;;
Animals_117_h;Animals;monkey;02484322;04108268;;;;;;;;;;;;;;;;;;;
Animals_118_h;Animals;monkey;02484322;01322685;;;;;;;;;;;;;;;;;;;
Animals_119_h;Animals;crow;01579028;;;;;;;;;;;;;;;;;;;;
Animals_120_h;Animals;monkeys;02484322;;;;;;;;;;;;;;;;;;;;
Animals_121_h;Animals;bull;02403325;;;;;;;;;;;;;;;;;;;;
Animals_122_h;Animals;monkeys;02484322;;;;;;;;;;;;;;;;;;;;
Animals_123_h;Animals;duck;01846331;09225146;;;;;;;;;;;;;;;;;;;
Animals_124_v;Animals;goats;02416519;;;;;;;;;;;;;;;;;;;;
Animals_125_h;Animals;monkeys;02484322;;;;;;;;;;;;;;;;;;;;
Animals_126_h;Animals;camels;02437136;08505573;;;;;;;;;;;;;;;;;;;
Animals_127_h;Animals;snails;01944390;;;;;;;;;;;;;;;;;;;;
Animals_128_h;Animals;horses;02374451;15043763;09411430;;;;;;;;;;;;;;;;;;
Animals_129_h;Animals;fish;02512053;04388743;02732072;;;;;;;;;;;;;;;;;;
Animals_130_h;Animals;lizard;01674464;;;;;;;;;;;;;;;;;;;;
Animals_131_h;Animals;ducks;01846331;01847170;14956325;;;;;;;;;;;;;;;;;;
Animals_132_h;Animals;swans;01858441;09217230;09225146;;;;;;;;;;;;;;;;;;
Animals_133_h;Animals;cat;02121620;09416076;;;;;;;;;;;;;;;;;;;
Animals_134_h;Animals;dog;02084071;00393105;;;;;;;;;;;;;;;;;;;
Animals_135_v;Animals;insect;02159955;00375969;;;;;;;;;;;;;;;;;;;
Animals_136_h;Animals;cat;02121620;;;;;;;;;;;;;;;;;;;;
Animals_137_h;Animals;camels;02437136;08505573;;;;;;;;;;;;;;;;;;;
Animals_138_h;Animals;chicken;01791625;01792640;;;;;;;;;;;;;;;;;;;
Animals_139_h;Animals;fish;02512053;;;;;;;;;;;;;;;;;;;;
Animals_140_h;Animals;fish;02512053;;;;;;;;;;;;;;;;;;;;
Animals_141_h;Animals;monkey;02484322;09416076;;;;;;;;;;;;;;;;;;;
Animals_142_h;Animals;snake;01726692;09225146;;;;;;;;;;;;;;;;;;;
Animals_143_h;Animals;snake;01726692;09225146;09416076;;;;;;;;;;;;;;;;;;
Animals_144_h;Animals;alligator;01698434;;;;;;;;;;;;;;;;;;;;
Animals_145_h;Animals;snake;01726692;00375969;;;;;;;;;;;;;;;;;;;
Animals_146_h;Animals;cow;02403454;09366762;;;;;;;;;;;;;;;;;;;
Animals_147_v;Animals;lizard;01674464;13104059;;;;;;;;;;;;;;;;;;;
Animals_148_h;Animals;sea lion;02077923;09416076;14842992;;;;;;;;;;;;;;;;;;
Animals_149_v;Animals;bird;01503061;09225146;;;;;;;;;;;;;;;;;;;
Animals_150_h;Animals;sea lions;02077923;09416076;09225146;;;;;;;;;;;;;;;;;;
Animals_151_v;Animals;worm;01786646;13104059;;;;;;;;;;;;;;;;;;;
Animals_152_h;Animals;black swan;01860187;01858441;00392812;;;;;;;;;;;;;;;;;;
Animals_153_v;Animals;turtle;01662784;12102133;01670092;;;;;;;;;;;;;;;;;;
Animals_154_h;Animals;cow;01887787;09225146;;;;;;;;;;;;;;;;;;;
Animals_155_v;Animals;cat;02121620;03001627;;;;;;;;;;;;;;;;;;;
Animals_156_h;Animals;fish;02512053;09376526;;;;;;;;;;;;;;;;;;;
Animals_157_h;Animals;fish;02512053;00370869;;;;;;;;;;;;;;;;;;;
Animals_158_h;Animals;cats;02121620;04522168;01186428;;;;;;;;;;;;;;;;;;
Animals_159_h;Animals;fish;02512053;01914609;;;;;;;;;;;;;;;;;;;
Animals_160_h;Animals;seahorses;01456756;;;;;;;;;;;;;;;;;;;;
Animals_161_h;Animals;fish;02512053;00370869;;;;;;;;;;;;;;;;;;;
Animals_162_h;Animals;lizards;01674464;09416076;13163250;;;;;;;;;;;;;;;;;;
Animals_163_h;Animals;llama;02437616;;;;;;;;;;;;;;;;;;;;
Animals_164_h;Animals;sea lion;02077923;09416076;;;;;;;;;;;;;;;;;;;
Animals_165_h;Animals;goats;02416519;00195191;;;;;;;;;;;;;;;;;;;
Animals_166_v;Animals;cats;02121620;00014742;02883344;;;;;;;;;;;;;;;;;;
Animals_167_h;Animals;cat;02121620;;;;;;;;;;;;;;;;;;;;
Animals_168_h;Animals;cat;02121620;04314914;02576489;;;;;;;;;;;;;;;;;;
Animals_169_h;Animals;turtle;01662784;01670092;;;;;;;;;;;;;;;;;;;
Animals_170_h;Animals;turtle;01662784;09426788;09376526;;;;;;;;;;;;;;;;;;
Animals_171_h;Animals;boar;02396427;;;;;;;;;;;;;;;;;;;;
Animals_172_h;Animals;peacock;01806143;00370869;;;;;;;;;;;;;;;;;;;
Animals_173_h;Animals;seal;02076196;09416076;09376198;09426788;;;;;;;;;;;;;;;;;
Animals_174_h;Animals;lizards;01674464;00375969;09416076;;;;;;;;;;;;;;;;;;
Animals_175_h;Animals;dog;02084071;03397947;01439190;01963942;;;;;;;;;;;;;;;;;
Animals_176_h;Animals;baby deer;02430045;01888045;;;;;;;;;;;;;;;;;;;
Animals_177_h;Animals;dog;02084071;15043763;00167278;;;;;;;;;;;;;;;;;;
Animals_178_v;Animals;dog;02084071;03397947;01439190;01963942;;;;;;;;;;;;;;;;;
Animals_179_h;Animals;dogs;02084071;01963942;;;;;;;;;;;;;;;;;;;
Animals_180_h;Animals;dog;02084071;12102133;;;;;;;;;;;;;;;;;;;
Animals_181_h;Animals;butterfly;02274259;00392812;11669921;;;;;;;;;;;;;;;;;;
Animals_182_h;Animals;butterfly;02274259;13152742;;;;;;;;;;;;;;;;;;;
Animals_183_h;Animals;dog;02084071;09217230;09376198;01926311;;;;;;;;;;;;;;;;;
Animals_184_h;Animals;cows;02403454;09359803;08598301;;;;;;;;;;;;;;;;;;
Animals_185_h;Animals;birds;01503061;08598301;;;;;;;;;;;;;;;;;;;
Animals_186_h;Animals;dolphins;02068974;09225146;02418686;;;;;;;;;;;;;;;;;;
Animals_187_h;Animals;dolphins;02068974;09225146;02418686;;;;;;;;;;;;;;;;;;
Animals_188_h;Animals;frog;01639765;00375969;13152742;;;;;;;;;;;;;;;;;;
Animals_189_v;Animals;turtle;01662784;09376526;;;;;;;;;;;;;;;;;;;
Animals_190_h;Animals;dog;02084071;14844693;05563266;;;;;;;;;;;;;;;;;;
Animals_191_h;Animals;kitten;02122948;14844693;;;;;;;;;;;;;;;;;;;
Animals_192_h;Animals;cat;02121620;04546855;;;;;;;;;;;;;;;;;;;
Animals_193_h;Animals;butterfly;02274259;00392812;;;;;;;;;;;;;;;;;;;
Animals_194_h;Animals;dog;02084071;00843128;02881193;15019030;;;;;;;;;;;;;;;;;
Animals_195_h;Animals;cat;02121620;07775375;04379243;03364156;;;;;;;;;;;;;;;;;
