Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;;
Animals_001_h;Animals;dead stork;"{00095280} <adj.all> dead1#1 (vs. alive1#1) -- (no longer having or seeming to have or expecting to have life; ""the nerve is dead""; ""a dead pallor""; ""he was marked as a dead man by the assassin"")";{02002075} <noun.animal> stork#1 -- (large mostly Old World wading birds typically having white-and-black plumage);;;;;;;;;;;;;;;;;;;
Animals_002_v;Animals;lion;{02129165} <noun.animal> lion#1, king of beasts#1, Panthera leo#1 -- (large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male);;;;;;;;;;;;;;;;;;;;
Animals_003_h;Animals;snake ;"{01726692} <noun.animal> snake#1, serpent#1, ophidian#1 -- (limbless scaly elongate reptile; some are venomous)";;;;;;;;;;;;;;;;;;;;
Animals_004_v;Animals;wolf;{02114100} <noun.animal> wolf#1 -- (any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs);"{01045719} <verb.communication> grumble2#3, growl#1, rumble#2 -- (to utter or emit low dull rumbling sounds; ""he grumbled a rude response""; ""Stones grumbled down the cliff"")";;;;;;;;;;;;;;;;;;;
Animals_005_h;Animals;bat;{02139199} <noun.animal> bat#1, chiropteran#1 -- (nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate);;;;;;;;;;;;;;;;;;;;
Animals_006_v;Animals;snake;"{01726692} <noun.animal> snake#1, serpent#1, ophidian#1 -- (limbless scaly elongate reptile; some are venomous)";;;;;;;;;;;;;;;;;;;;
Animals_007_h;Animals;wolf;{02114100} <noun.animal> wolf#1 -- (any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs);{15043763} <noun.substance> snow#2 -- (a layer of snowflakes (white crystals of frozen water) covering the ground);;;;;;;;;;;;;;;;;;;
Animals_008_v;Animals;fighting chickens;"{01660444} <adj.all> active#2, combat-ready#1, fighting#1(prenominal) -- (engaged in or ready for military or naval operations; ""on active duty""; ""the platoon is combat-ready""; ""review the fighting forces"")";{07644967} <noun.food> chicken#1, poulet#1, volaille#1 -- (the flesh of a chicken used for food);{01792158} <noun.animal> cock1#4, rooster#1 -- (adult male chicken);;;;;;;;;;;;;;;;;;
Animals_009_v;Animals;cat;"{02121620} <noun.animal> cat#1, true cat#1 -- (feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats)";{08438533} <noun.group> forest#1, wood#2, woods#1 -- (the trees and other plants in a large densely wooded area);;;;;;;;;;;;;;;;;;;
Animals_010_h;Animals;sick kitten;"{02541302} <adj.all> ill1#1 (vs. well1#1), sick1#1 -- (affected by an impairment of normal physical or mental function; ""ill from the monotony of his suffering"")";{02122948} <noun.animal> kitten#1, kitty2#3 -- (young domestic cat);;;;;;;;;;;;;;;;;;;
