Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;;
Objects_001_h;Objects;burning car;"{02958343} <noun.artifact> car#1, auto#1, automobile#1, machine1#6, motorcar#1 -- (a motor vehicle with four wheels; usually propelled by an internal combustion engine; ""he needs a car to get to work"")";"{01276992} <adj.all> burning#1(prenominal) -- (of immediate import; ""burning issues of the day"")";"{07302836} <noun.event> fire#1 -- (the event of something burning (often destructive); ""they lost everything in the fire"")";"04334599} <noun.artifact> street#1 -- (a thoroughfare (usually including sidewalks) that is lined with buildings; ""they walked the streets of the small town""; ""he lives on Nassau Street"")";;;;;;;;;;;;;;;;;
Objects_002_h;Objects;crashed truck;{04490091} <noun.artifact> truck#1, motortruck#1 -- (an automotive vehicle suitable for hauling);"{07301950} <noun.event> crash#2, wreck#3 -- (a serious accident (usually involving one or more vehicles); ""they are still investigating the crash of the TWA plane"")";{14844693} <noun.substance> soil1#2, dirt1#1 -- (the part of the earth's surface consisting of humus and disintegrated rock);;;;;;;;;;;;;;;;;;
Objects_003_h;Objects;crashed car;"{02958343} <noun.artifact> car#1, auto#1, automobile#1, machine1#6, motorcar#1 -- (a motor vehicle with four wheels; usually propelled by an internal combustion engine; ""he needs a car to get to work"")";"{07301950} <noun.event> crash#2, wreck#3 -- (a serious accident (usually involving one or more vehicles); ""they are still investigating the crash of the TWA plane"")";{04096066} <noun.artifact> road#1, route#2 -- (an open way (generally public) for travel or transportation);;;;;;;;;;;;;;;;;;
Objects_004_h;Objects;crashed car;"{02958343} <noun.artifact> car#1, auto#1, automobile#1, machine1#6, motorcar#1 -- (a motor vehicle with four wheels; usually propelled by an internal combustion engine; ""he needs a car to get to work"")";"{07301950} <noun.event> crash#2, wreck#3 -- (a serious accident (usually involving one or more vehicles); ""they are still investigating the crash of the TWA plane"")";{15043763} <noun.substance> snow#2 -- (a layer of snowflakes (white crystals of frozen water) covering the ground);"{02467559} <adj.all> inverted#1, upside-down#1 -- (being in such a position that top and bottom are reversed; ""a quotation mark is sometimes called an inverted comma""; ""an upside-down cake"")";;;;;;;;;;;;;;;;;
Objects_005_h;Objects;fish;"{07775375} <noun.food> fish#2 -- (the flesh of fish used as food; ""in Japan most fish is eaten raw""; ""after the scare about foot-and-mouth disease a lot of people started eating fish instead of meat""; ""they have a chef who specializes in fish"")";"{04379243} <noun.artifact> table1#2 -- (a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs; ""it was a sturdy table"")";;;;;;;;;;;;;;;;;;;
Objects_006_h;Objects;meat;{07649854} <noun.food> meat1#1 -- (the flesh of animals (including fishes and birds and snails) used as food);"{02883344} <noun.artifact> box#1 -- (a (usually rectangular) container; may have a lid; ""he rummaged through a box of spare parts"")";;;;;;;;;;;;;;;;;;;
Objects_007_h;Objects;meat;{07649854} <noun.food> meat1#1 -- (the flesh of animals (including fishes and birds and snails) used as food);{03959485} <noun.artifact> plate#4 -- (dish on which food is served or from which food is eaten);"{00385756} <adj.all> yellow#1, yellowish#1, xanthous#1 -- (of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk)";;;;;;;;;;;;;;;;;;
Objects_008_h;Objects;roasted chicken;{07644967} <noun.food> chicken#1, poulet#1, volaille#1 -- (the flesh of a chicken used for food);{00618377} <adj.all> roast#1, roasted#1 -- ((meat) cooked by dry heat in an oven);;;;;;;;;;;;;;;;;;;
Objects_009_h;Objects;sausage;{07675627} <noun.food> sausage#1 -- (highly seasoned minced meat stuffed in casings);{12937678} <noun.plant> carrot2#1 -- (deep orange edible root of the cultivated carrot plant);{03959485} <noun.artifact> plate#4 -- (dish on which food is served or from which food is eaten);;;;;;;;;;;;;;;;;;
Objects_010_h;Objects;rotten bread;{07679356} <noun.food> bread#1, breadstuff1#1, staff of life#1 -- (food made from dough of flour or meal and usually raised with yeast or baking powder and then baked);"{01070088} <adj.all> moldy#1, mouldy#1, musty#1 -- (covered with or smelling of mold; ""moldy bread""; ""a moldy (or musty) odor"")";;;;;;;;;;;;;;;;;;;
Objects_011_h;Objects;rotten soup;{07583197} <noun.food> soup#1 -- (liquid food especially of meat or fish or vegetable stock often containing pieces of solid food);"{01070538} <adj.all> rotten#3 -- (having decayed or disintegrated; usually implies foulness; ""dead and rotten in his grave"")";;;;;;;;;;;;;;;;;;;
Objects_012_h;Objects;meat;{07649854} <noun.food> meat1#1 -- (the flesh of animals (including fishes and birds and snails) used as food);{07668702} <noun.food> pork#1, porc#1 -- (meat from a domestic hog or pig);{02666943} <noun.artifact> abattoir#1, butchery#1, shambles#2, slaughterhouse#1 -- (a building where animals are butchered);;;;;;;;;;;;;;;;;;
