Picture ID,Category,Description,WordNet_1,WordNet_2,WordNet_3,WordNet_4,WordNet_5,WordNet_6,WordNet_7,,,,,,,,,,,,,,
Faces_001_h,Faces,children with a dog,09771320,02064081,,,,,,,,,,,,,,,,,,,
Faces_002_v,Faces,woman with a dog,10626312,02064081,,,,,,,,,,,,,,,,,,,
Faces_003_h,Faces,children,09771320,,,,,,,,,,,,,,,,,,,,
Faces_004_h,Faces,baby crying,09682781,00065431,03404471,,,,,,,,,,,,,,,,,,
Faces_005_h,Faces,baby in incubator,09682781,03527931,,,,,,,,,,,,,,,,,,,
Faces_006_h,Faces,girl,09934281,,,,,,,,,,,,,,,,,,,,
Faces_007_h,Faces,amputee boy,09645967,10131706,07944757,,,,,,,,,,,,,,,,,,
Faces_008_h,Faces,child crying,09771320,00065431,14845903,,,,,,,,,,,,,,,,,,
Faces_009_h,Faces,hurting child,02101881,09771320,,,,,,,,,,,,,,,,,,,
Faces_010_h,Faces,child with burns,09771320,14098737,07944757,,,,,,,,,,,,,,,,,,
Faces_011_h,Faces,sick child,02624970,09771320,,,,,,,,,,,,,,,,,,,
Faces_012_v,Faces,sad girl,01412748,09934281,,,,,,,,,,,,,,,,,,,
Faces_013_h,Faces,child in a rescue sled,09771320,02526872,04185439,,,,,,,,,,,,,,,,,,
Faces_014_h,Faces,children,09771976,08113205,,,,,,,,,,,,,,,,,,,
Faces_015_h,Faces,children,09771976,,,,,,,,,,,,,,,,,,,,
Faces_016_h,Faces,armed children,00160892,09771320,,,,,,,,,,,,,,,,,,,
Faces_017_h,Faces,boy playing,10131706,02395028,,,,,,,,,,,,,,,,,,,
Faces_018_h,Faces,armed boys,00160892,10464570,,,,,,,,,,,,,,,,,,,
Faces_019_h,Faces,baby with cleft lip,09682781,01543546,05242431,,,,,,,,,,,,,,,,,,
Faces_020_h,Faces,child eating,09771320,01157345,,,,,,,,,,,,,,,,,,,
Faces_021_h,Faces,baby crying,09682781,00903733,,,,,,,,,,,,,,,,,,,
Faces_022_h,Faces,sad child,01412748,09771320,,,,,,,,,,,,,,,,,,,
Faces_023_h,Faces,child,09771320,01157345,03291974,,,,,,,,,,,,,,,,,,
Faces_024_h,Faces,child,09771320,,,,,,,,,,,,,,,,,,,,
Faces_025_h,Faces,baby in incubator,09682781,03527931,,,,,,,,,,,,,,,,,,,
Faces_026_h,Faces,boy,10131706,,,,,,,,,,,,,,,,,,,,
Faces_027_h,Faces,boy,10131706,,,,,,,,,,,,,,,,,,,,
Faces_028_h,Faces,wounded woman and a child,01367907,09771320,10626312,,,,,,,,,,,,,,,,,,
Faces_029_h,Faces,baby in incubator,09682781,03527931,,,,,,,,,,,,,,,,,,,
Faces_030_h,Faces,child,09771320,,,,,,,,,,,,,,,,,,,,
Faces_031_v,Faces,amputee girl,09645967,09934281,00065431,,,,,,,,,,,,,,,,,,
Faces_032_h,Faces,boy with a cigarette,10131706,03000687,,,,,,,,,,,,,,,,,,,
Faces_033_h,Faces,boys with crutches,10131706,03109655,,,,,,,,,,,,,,,,,,,
Faces_034_h,Faces,sick child,09771320,02624970,,,,,,,,,,,,,,,,,,,
Faces_035_h,Faces,child eating,09771320,01157345,,,,,,,,,,,,,,,,,,,
Faces_036_h,Faces,woman and a child,10626312,09771320,,,,,,,,,,,,,,,,,,,
Faces_037_h,Faces,boy crying,10131706,00065431,,,,,,,,,,,,,,,,,,,
Faces_038_h,Faces,boy with a gun,10131706,03430539,,,,,,,,,,,,,,,,,,,
Faces_039_h,Faces,sad girl,01412748,09934281,,,,,,,,,,,,,,,,,,,
Faces_040_h,Faces,child,09771320,,,,,,,,,,,,,,,,,,,,
Faces_041_h,Faces,child in a hospital,09771320,07944757,,,,,,,,,,,,,,,,,,,
Faces_042_h,Faces,boy smiling,10131706,00386156,,,,,,,,,,,,,,,,,,,
Faces_043_v,Faces,girl having a massage,09934281,00118780,00651141,,,,,,,,,,,,,,,,,,
Faces_044_h,Faces,girl,09934281,,,,,,,,,,,,,,,,,,,,
Faces_045_h,Faces,girl,09934281,,,,,,,,,,,,,,,,,,,,
Faces_046_h,Faces,girls eating,09934281,01157345,,,,,,,,,,,,,,,,,,,
Faces_047_h,Faces,boy,10131706,,,,,,,,,,,,,,,,,,,,
Faces_048_h,Faces,boys,10131706,,,,,,,,,,,,,,,,,,,,
Faces_049_h,Faces,girl,09934281,,,,,,,,,,,,,,,,,,,,
Faces_050_h,Faces,children playing,09771320,02395028,,,,,,,,,,,,,,,,,,,
Faces_051_h,Faces,boy on a bike,10131706,03748597,,,,,,,,,,,,,,,,,,,
Faces_052_h,Faces,girl sleeping,09934281,00014762,,,,,,,,,,,,,,,,,,,
Faces_053_h,Faces,children,09771320,,,,,,,,,,,,,,,,,,,,
Faces_054_v,Faces,girl,09934281,,,,,,,,,,,,,,,,,,,,
Faces_055_h,Faces,girl,09934281,,,,,,,,,,,,,,,,,,,,
Faces_056_h,Faces,boy,10131706,,,,,,,,,,,,,,,,,,,,
Faces_057_h,Faces,boy,10131706,,,,,,,,,,,,,,,,,,,,
Faces_058_h,Faces,girl,09934281,,,,,,,,,,,,,,,,,,,,
Faces_059_h,Faces,girl,09934281,,,,,,,,,,,,,,,,,,,,
Faces_060_h,Faces,family,07968033,,,,,,,,,,,,,,,,,,,,
Faces_061_h,Faces,baby sleeping,09682781,00014762,,,,,,,,,,,,,,,,,,,
Faces_062_v,Faces,girl,09979060,,,,,,,,,,,,,,,,,,,,
Faces_063_v,Faces,child eating,09771320,01157345,,,,,,,,,,,,,,,,,,,
Faces_064_h,Faces,woman and girls,10626312,09934281,,,,,,,,,,,,,,,,,,,
Faces_065_h,Faces,girl,10626312,,,,,,,,,,,,,,,,,,,,
Faces_066_h,Faces,child playing,09771320,02395028,04464005,,,,,,,,,,,,,,,,,,
Faces_067_h,Faces,baby,09682781,,,,,,,,,,,,,,,,,,,,
Faces_068_h,Faces,children,09771320,10404849,,,,,,,,,,,,,,,,,,,
