Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7
Faces_001_h;Faces;children with a dog;"{09771320} <noun.person> child#1, kid#1, youngster#1, minor#1, shaver#2, nipper#1, small fry1#2, tiddler#1, tike1#2, tyke1#3, fry#3, nestling#2 -- (a young person of either sex; ""she writes books for children""; ""they're just kids""; ""`tiddler' is a British term for youngsters"")";"{02064081} <noun.animal> dog#1, domestic dog#1, Canis familiaris#1 -- (a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds; ""the dog barked all night"")";;;;;
Faces_002_v;Faces;woman with a dog;"{10626312} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";"{02064081} <noun.animal> dog#1, domestic dog#1, Canis familiaris#1 -- (a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds; ""the dog barked all night"")";;;;;
Faces_003_h;Faces;children;"{09771320} <noun.person> child#1, kid#1, youngster#1, minor#1, shaver#2, nipper#1, small fry1#2, tiddler#1, tike1#2, tyke1#3, fry#3, nestling#2 -- (a young person of either sex; ""she writes books for children""; ""they're just kids""; ""`tiddler' is a British term for youngsters"")";;;;;;
Faces_004_h;Faces;baby crying;"{09682781} <noun.person> baby#1, babe#1, infant#1 -- (a very young child (birth to 1 year) who has not yet begun to walk or talk; ""isn't she too young to have a baby?"")";"{00065431} <verb.body> cry#2, weep#1 -- (shed tears because of sadness, rage, or pain; ""She cried bitterly when she heard the news of his death""; ""The girl in the wheelchair wept with frustration when she could not get up the stairs"")";{03404471} <noun.artifact> glove#2 -- (handwear: covers the hand and wrist);;;;
Faces_005_h;Faces;baby in incubator;"{09682781} <noun.person> baby#1, babe#1, infant#1 -- (a very young child (birth to 1 year) who has not yet begun to walk or talk; ""isn't she too young to have a baby?"")";"{03527931} <noun.artifact> incubator#1, brooder#1 -- (apparatus consisting of a box designed to maintain a constant temperature by the use of a thermostat; used for chicks or premature infants)";;;;;
Faces_006_h;Faces;girl;"{09934281} <noun.person> female child#1, girl2#2, little girl#1 -- (a youthful female person; ""the baby was a girl""; ""the girls were just learning to ride a tricycle"")";;;;;;
Faces_007_h;Faces;amputee boy;{09645967} <noun.person> amputee#1 -- (someone who has had a limb removed by amputation);"{10131706} <noun.person> male child#1, boy#1 -- (a youthful male person; ""the baby was a boy""; ""she made the boy brush his teeth every night""; ""most soldiers are only boys in uniform"")";{07944757} <noun.group> hospital#2 -- (a medical institution where sick or injured people are given medical or surgical care);;;;
Faces_008_h;Faces;child crying;"{09771320} <noun.person> child#1, kid#1, youngster#1, minor#1, shaver#2, nipper#1, small fry1#2, tiddler#1, tike1#2, tyke1#3, fry#3, nestling#2 -- (a young person of either sex; ""she writes books for children""; ""they're just kids""; ""`tiddler' is a British term for youngsters"")";"{00065431} <verb.body> cry#2, weep#1 -- (shed tears because of sadness, rage, or pain; ""She cried bitterly when she heard the news of his death""; ""The girl in the wheelchair wept with frustration when she could not get up the stairs"")";{14845903} <noun.substance> snow#2 -- (a layer of snowflakes (white crystals of frozen water) covering the ground);;;;
Faces_009_h;Faces;hurting child;"{02101881} <verb.perception> hurt1#6, ache1#1, suffer#7 -- (feel physical pain; ""Were you hurting after the accident?"")";"{09771320} <noun.person> child#1, kid#1, youngster#1, minor#1, shaver#2, nipper#1, small fry1#2, tiddler#1, tike1#2, tyke1#3, fry#3, nestling#2 -- (a young person of either sex; ""she writes books for children""; ""they're just kids""; ""`tiddler' is a British term for youngsters"")";;;;;
Faces_010_h;Faces;child with burns;"{09771320} <noun.person> child#1, kid#1, youngster#1, minor#1, shaver#2, nipper#1, small fry1#2, tiddler#1, tike1#2, tyke1#3, fry#3, nestling#2 -- (a young person of either sex; ""she writes books for children""; ""they're just kids""; ""`tiddler' is a British term for youngsters"")";{14098737} <noun.state> burn1#3 -- (an injury caused by exposure to heat or chemicals or radiation);{07944757} <noun.group> hospital#2 -- (a medical institution where sick or injured people are given medical or surgical care);;;;
Faces_011_h;Faces;sick child;"{02624970} <adj.all> ill1#1 (vs. well1#1), sick1#1 -- (affected by an impairment of normal physical or mental function; ""ill from the monotony of his suffering"")";"{09771320} <noun.person> child#1, kid#1, youngster#1, minor#1, shaver#2, nipper#1, small fry1#2, tiddler#1, tike1#2, tyke1#3, fry#3, nestling#2 -- (a young person of either sex; ""she writes books for children""; ""they're just kids""; ""`tiddler' is a British term for youngsters"")";;;;;
Faces_012_v;Faces;sad girl;"{01412748} <adj.all> sad#1 (vs. glad#1) -- (experiencing or showing sorrow or unhappiness; ""feeling sad because his dog had died""; ""Better by far that you should forget and smile / Than that you should remember and be sad""- Christina Rossetti)";"{09934281} <noun.person> female child#1, girl2#2, little girl#1 -- (a youthful female person; ""the baby was a girl""; ""the girls were just learning to ride a tricycle"")";;;;;
