Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;;
Landscapess_001_h;Landscapes;concentration camp;04460130;03086183;11508382;;;;;;;;;;;;;;;;;;
Landscapess_002_h;Landscapes;concentration camp;04460130;11508382;02796623;;;;;;;;;;;;;;;;;;
Landscapess_003_v;Landscapes;devastated house;03222722;00388635;03544360;;;;;;;;;;;;;;;;;;
Landscapess_004_h;Landscapes;polluted water;14516743;09225146;;;;;;;;;;;;;;;;;;;
Landscapess_005_h;Landscapes;crashed trains;04468005;07301950;;;;;;;;;;;;;;;;;;;
Landscapess_006_h;Landscapes;crashed trains;04468005;07301950;;;;;;;;;;;;;;;;;;;
Landscapess_007_h;Landscapes;waste;14857497;14856263;04551055;;;;;;;;;;;;;;;;;;
Landscapess_008_h;Landscapes;ski lift;04231693;04231693;15043763;;;;;;;;;;;;;;;;;;
Landscapess_009_h;Landscapes;sea side;09428628;09225146;;;;;;;;;;;;;;;;;;;
Landscapess_010_h;Landscapes;devastated houses;00388635;03544360;;;;;;;;;;;;;;;;;;;
Landscapess_011_h;Landscapes;devastated house;00388635;03544360;;;;;;;;;;;;;;;;;;;
Landscapess_012_h;Landscapes;bridge;02898711;;;;;;;;;;;;;;;;;;;;
Landscapess_013_v;Landscapes;wall;04546855;00385756;;;;;;;;;;;;;;;;;;;
Landscapess_014_h;Landscapes;waste and houses;14857497;03544360;;;;;;;;;;;;;;;;;;;
Landscapess_015_h;Landscapes;devastated houses;00388635;03544360;;;;;;;;;;;;;;;;;;;
Landscapess_016_h;Landscapes;block of flats;02726305;02777734;;;;;;;;;;;;;;;;;;;
Landscapess_017_h;Landscapes;waste;14857497;15043763;02773037;;;;;;;;;;;;;;;;;;
Landscapess_018_h;Landscapes;devastated house;00388635;03544360;12582231;;;;;;;;;;;;;;;;;;
Landscapess_019_h;Landscapes;devastated house;00388635;03544360;;;;;;;;;;;;;;;;;;;
Landscapess_020_h;Landscapes;electric posts;11449907;03988170;;;;;;;;;;;;;;;;;;;
Landscapess_021_h;Landscapes;ski lift;04231693;04231693;15043763;;;;;;;;;;;;;;;;;;
Landscapess_022_h;Landscapes;burning house;02793495;00378069;;;;;;;;;;;;;;;;;;;
Landscapess_023_h;Landscapes;mountains;15043763;09359803;08226699;03512147;08438533;;;;;;;;;;;;;;;;
Landscapess_024_v;Landscapes;block of flats;02726305;02913152;;;;;;;;;;;;;;;;;;;
Landscapess_025_h;Landscapes;waste and houses;14856263;03544360;;;;;;;;;;;;;;;;;;;
Landscapess_026_h;Landscapes;waste;14856263;;;;;;;;;;;;;;;;;;;;
Landscapess_027_v;Landscapes;devastated building;00388635;02913152;;;;;;;;;;;;;;;;;;;
Landscapess_028_h;Landscapes;railroad tracks;14856263;04048568;09387222;;;;;;;;;;;;;;;;;;
Landscapess_029_v;Landscapes;flooded building;00217152;02913152;;;;;;;;;;;;;;;;;;;
Landscapess_030_v;Landscapes;melted snow;15043763;00447309;;;;;;;;;;;;;;;;;;;
Landscapess_031_h;Landscapes;bridge;02898711;03327234;;;;;;;;;;;;;;;;;;;
Landscapess_032_v;Landscapes;devastated house;03544360;03222722;00289082;02801938;14881303;;;;;;;;;;;;;;;;
Landscapess_033_h;Landscapes;building;00388635;02913152;;;;;;;;;;;;;;;;;;;
Landscapess_034_h;Landscapes;ruins;09407346;04118635;;;;;;;;;;;;;;;;;;;
Landscapess_035_v;Landscapes;stairs;04298171;;;;;;;;;;;;;;;;;;;;
Landscapess_036_h;Landscapes;house;03544360;02025885;;;;;;;;;;;;;;;;;;;
Landscapess_037_v;Landscapes;houses;03544360;04105068;;;;;;;;;;;;;;;;;;;
Landscapess_038_h;Landscapes;temple;05913842;03112099;;;;;;;;;;;;;;;;;;;
Landscapess_039_v;Landscapes;devastated building;03544360;00289082;;;;;;;;;;;;;;;;;;;
Landscapess_040_h;Landscapes;house;03544360;04576002;;;;;;;;;;;;;;;;;;;
Landscapess_041_h;Landscapes;cabin;02932400;08438533;;;;;;;;;;;;;;;;;;;
Landscapess_042_h;Landscapes;building;04587648;02913152;02897820;;;;;;;;;;;;;;;;;;
Landscapess_043_h;Landscapes;bulldozers;02916179;15043763;;;;;;;;;;;;;;;;;;;
Landscapess_044_h;Landscapes;house;03544360;15043763;;;;;;;;;;;;;;;;;;;
Landscapess_045_h;Landscapes;doors;03221720;04298171;;;;;;;;;;;;;;;;;;;
Landscapess_046_h;Landscapes;windows;04587648;11669921;;;;;;;;;;;;;;;;;;;
Landscapess_047_v;Landscapes;stairs;04298171;;;;;;;;;;;;;;;;;;;;
Landscapess_048_h;Landscapes;terrace;03899768;13984613;04379243;;;;;;;;;;;;;;;;;;
Landscapess_049_h;Landscapes;house;03544360;04335886;08505573;09303008;;;;;;;;;;;;;;;;;
Landscapess_050_h;Landscapes;house;08436759;11978233;03544360;;;;;;;;;;;;;;;;;;
Landscapess_051_h;Landscapes;house;03544360;03221720;04587648;;;;;;;;;;;;;;;;;;
Landscapess_052_h;Landscapes;buildings;08524735;02958343;02913152;08615149;;;;;;;;;;;;;;;;;
Landscapess_053_h;Landscapes;skyscrapers;08524735;02958343;07265990;;;;;;;;;;;;;;;;;;
Landscapess_054_h;Landscapes;house;03544360;08438533;05565696;;;;;;;;;;;;;;;;;;
Landscapess_055_h;Landscapes;vineyard;04536038;08438533;;;;;;;;;;;;;;;;;;;
Landscapess_056_h;Landscapes;devastated house;03544360;01451402;04587648;;;;;;;;;;;;;;;;;;
Landscapess_057_h;Landscapes;highway;02958343;03519981;03074380;;;;;;;;;;;;;;;;;;
Landscapess_058_h;Landscapes;devastated house;03001627;04256520;04587648;01451402;;;;;;;;;;;;;;;;;
Landscapess_059_v;Landscapes;bridge;02898711;03327234;13984944;;;;;;;;;;;;;;;;;;
Landscapess_060_h;Landscapes;mines;03768346;14966667;08505573;;;;;;;;;;;;;;;;;;
Landscapess_061_h;Landscapes;mine;03768346;14966667;08505573;;;;;;;;;;;;;;;;;;
Landscapess_062_h;Landscapes;buildings;09328904;03933529;13104059;;;;;;;;;;;;;;;;;;
Landscapess_063_h;Landscapes;highway;02958343;03519981;02913152;13104059;;;;;;;;;;;;;;;;;
Landscapess_064_h;Landscapes;garden;13104059;09448361;08436759;;;;;;;;;;;;;;;;;;
Landscapess_065_h;Landscapes;buildings;08663774;15043763;03544360;03544360;;;;;;;;;;;;;;;;;
Landscapess_066_h;Landscapes;dustbins;02958343;13104059;14857497;02839910;;;;;;;;;;;;;;;;;
Landscapess_067_h;Landscapes;balcony;02897820;02777734;03327234;;;;;;;;;;;;;;;;;;
Landscapess_068_h;Landscapes;devastated house;03544360;01451402;03221720;04587648;12102133;;;;;;;;;;;;;;;;
Landscapess_069_v;Landscapes;railroad tracks;09387222;09416076;;;;;;;;;;;;;;;;;;;
