Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;;
Objects_001_h;Objects;burning car;02958343;01276992;07302836;04334599;;;;;;;;;;;;;;;;;
Objects_002_h;Objects;crashed truck;04490091;07301950;14844693;;;;;;;;;;;;;;;;;;
Objects_003_h;Objects;crashed car;02958343;07301950;04096066;;;;;;;;;;;;;;;;;;
Objects_004_h;Objects;crashed car;02958343;07301950;15043763;02467559;;;;;;;;;;;;;;;;;
Objects_005_h;Objects;fish;07775375;04379243;;;;;;;;;;;;;;;;;;;
Objects_006_h;Objects;meat;07649854;02883344;;;;;;;;;;;;;;;;;;;
Objects_007_h;Objects;meat;07649854;03959485;00385756;;;;;;;;;;;;;;;;;;
Objects_008_h;Objects;roasted chicken;07644967;00618377;;;;;;;;;;;;;;;;;;;
Objects_009_h;Objects;sausage;07675627;12937678;03959485;;;;;;;;;;;;;;;;;;
Objects_010_h;Objects;rotten bread;07679356;01070088;;;;;;;;;;;;;;;;;;;
Objects_011_h;Objects;rotten soup;07583197;01070538;;;;;;;;;;;;;;;;;;;
Objects_012_h;Objects;meat;07649854;07668702;02666943;;;;;;;;;;;;;;;;;;
Objects_013_h;Objects;meat;07649854;07663592;02666943;;;;;;;;;;;;;;;;;;
Objects_014_h;Objects;sausages;07675627;03880531;;;;;;;;;;;;;;;;;;;
Objects_015_v;Objects;meat;07649854;;;;;;;;;;;;;;;;;;;;
Objects_016_h;Objects;noodles with eggs;07699584;07840804;02801938;;;;;;;;;;;;;;;;;;
Objects_017_v;Objects;meat;07649854;00392812;07644967;;;;;;;;;;;;;;;;;;
Objects_018_h;Objects;meat;07649854;07669891;;;;;;;;;;;;;;;;;;;
Objects_019_h;Objects;meat;07649854;07669891;;;;;;;;;;;;;;;;;;;
Objects_020_h;Objects;haricots;12557438;12557280;;;;;;;;;;;;;;;;;;;
Objects_021_v;Objects;meat;07649854;07663592;;;;;;;;;;;;;;;;;;;
Objects_022_h;Objects;meat;07649854;;;;;;;;;;;;;;;;;;;;
Objects_023_v;Objects;meat;07649854;05298988;;;;;;;;;;;;;;;;;;;
Objects_024_v;Objects;meat;07649854;07642933;04284002;07840804;;;;;;;;;;;;;;;;;
Objects_025_h;Objects;potato pancakes;07640203;07710616;03880531;;;;;;;;;;;;;;;;;;
Objects_026_v;Objects;mushrooms;13001041;12102133;;;;;;;;;;;;;;;;;;;
Objects_027_h;Objects;sausages;07675627;;;;;;;;;;;;;;;;;;;;
