Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;
People_001_h;People;sad woman;01361863;10787470;07302836;00378664;03544360;;;;;;;;;;;;;;;
People_002_v;People;car crash;02958343;00734318;07301950;00095280;;;;;;;;;;;;;;;;
People_003_h;People;car crash;07942152;02958343;07301950;00095280;;;;;;;;;;;;;;;;
People_004_h;People;car crash;02958343;07301950;15043763;;;;;;;;;;;;;;;;;
People_005_h;People;accident;03790512;07301336;10287213;;;;;;;;;;;;;;;;;
People_006_h;People;accident;03790512;07301336;07302542;;;;;;;;;;;;;;;;;
People_007_h;People;car crash;02958343;07301950;04336792;01317954;10287213;10091651;;;;;;;;;;;;;;
People_008_h;People;train crash;04468005;07301950;;;;;;;;;;;;;;;;;;
People_009_h;People;car crash;02958343;07301950;02898711;04335435;;;;;;;;;;;;;;;;
People_010_h;People;accident;01317954;10287213;04336792;07942152;07578363;;;;;;;;;;;;;;;
People_011_h;People;earthquake;14857897;07942152;01974062;;;;;;;;;;;;;;;;;
People_012_h;People;crashed plane;02691156;07301950;;;;;;;;;;;;;;;;;;
People_013_v;People;car crash;02958343;07301950;;;;;;;;;;;;;;;;;;
People_014_h;People;accident;04490091;04388743;07301336;;;;;;;;;;;;;;;;;
People_015_h;People;accident;07942152;00295701;02958343;;;;;;;;;;;;;;;;;
People_016_h;People;car crash;02958343;07301950;;;;;;;;;;;;;;;;;;
People_017_h;People;fire;04388743;07302836;10091651;;;;;;;;;;;;;;;;;
People_018_h;People;accident;07942152;02834778;07301336;;;;;;;;;;;;;;;;;
People_019_v;People;broken leg;01317954;05560787;;;;;;;;;;;;;;;;;;
People_020_h;People;car crash;02958343;07301950;04490091;;;;;;;;;;;;;;;;;
People_021_h;People;crashed motorcycle;03790512;07301950;;;;;;;;;;;;;;;;;;
People_022_h;People;car crash;04490091;07301950;00095280;10287213;;;;;;;;;;;;;;;;
People_023_h;People;accident;03790512;07301336;;;;;;;;;;;;;;;;;;
People_024_v;People;butcher;09884391;00095280;02395406;;;;;;;;;;;;;;;;;
People_025_v;People;butcher;09884391;00095280;02395406;;;;;;;;;;;;;;;;;
People_026_h;People;zoo;02076196;00838367;03745146;;;;;;;;;;;;;;;;;
People_027_h;People;Bedouin;09846469;08505573;00450335;02389559;;;;;;;;;;;;;;;;
People_028_h;People;dog cart;03217739;02084071;;;;;;;;;;;;;;;;;;
People_029_h;People;dog cart;03217739;02084071;15043763;;;;;;;;;;;;;;;;;
People_030_h;People;elephants;00255710;02503517;09411430;;;;;;;;;;;;;;;;;
People_031_v;People;burns;14289590;05600637;09917593;;;;;;;;;;;;;;;;;
People_032_h;People;child;09917593;09634494;04440749;00041188;;;;;;;;;;;;;;;;
People_033_h;People;child;09634494;09917593;;;;;;;;;;;;;;;;;;
People_034_h;People;infant;09827683;03567066;;;;;;;;;;;;;;;;;;
People_035_h;People;children;09917593;00344259;02801938;;;;;;;;;;;;;;;;;
People_036_h;People;infant in incubator;09827683;03567066;;;;;;;;;;;;;;;;;;
People_037_h;People;infant in incubator;09827683;03567066;;;;;;;;;;;;;;;;;;
People_038_h;People;assault;00767826;10287213;09917593;04090263;;;;;;;;;;;;;;;;
People_039_v;People;starved child;02301338;09917593;00457998;;;;;;;;;;;;;;;;;
People_040_h;People;infant in incubator;09827683;03567066;;;;;;;;;;;;;;;;;;
People_041_h;People;child;09917593;04962784;04560292;08615374;;;;;;;;;;;;;;;;
People_042_h;People;child;00457998;09917593;00344259;;;;;;;;;;;;;;;;;
People_043_h;People;children;09917593;10129825;00393105;03236735;11669921;;;;;;;;;;;;;;;
People_044_h;People;child;09917593;03964744;03417749;;;;;;;;;;;;;;;;;
